chromosome,"Primary TSS, 3'",End
chr1,6473794.0,6476794.0
chr1,6483340.0,6486340.0
chr1,6522671.0,6525671.0
chr1,6524652.0,6527652.0
chr1,6579907.0,6582907.0
chr1,6613838.0,6616838.0
chr1,6638569.0,6641569.0
chr1,6649284.0,6652284.0
chr1,6672256.0,6675256.0
chr1,6683710.0,6686710.0
chr1,6843884.0,6846884.0
chr1,7829829.0,7832829.0
chr1,7842884.0,7845884.0
chr1,7906172.0,7909172.0
chr1,7974431.0,7977431.0
chr1,8071987.0,8074987.0
chr1,8370486.0,8373486.0
chr1,8523530.0,8526530.0
chr1,8929506.0,8932506.0
chr1,9004393.0,9007393.0
chr1,9061859.0,9064859.0
chr1,9116007.0,9119007.0
chr1,9185484.0,9188484.0
chr1,9293363.0,9296363.0
chr1,9351441.0,9354441.0
chr1,9598028.0,9601028.0
chr1,9647432.0,9650432.0
chr1,9710290.0,9713290.0
chr1,9787579.0,9790579.0
chr1,9906834.0,9909834.0
chr1,9988276.0,9991276.0
chr1,10001986.0,10004986.0
chr1,10055755.0,10058755.0
chr1,10091541.0,10094541.0
chr1,10269012.0,10272012.0
chr1,10457585.0,10460585.0
chr1,10489339.0,10492339.0
chr1,10489339.0,10492339.0
chr1,10508276.0,10511276.0
chr1,10519103.0,10522103.0
chr1,10533503.0,10536503.0
chr1,10716564.0,10719564.0
chr1,11005030.0,11008030.0
chr1,11071179.0,11074179.0
chr1,11103656.0,11106656.0
chr1,11113149.0,11116149.0
chr1,11138268.0,11141268.0
chr1,11165088.0,11168088.0
chr1,11247846.0,11250846.0
chr1,11331755.0,11334755.0
chr1,11537719.0,11540719.0
chr1,11707644.0,11710644.0
chr1,11713414.0,11716414.0
chr1,11722650.0,11725650.0
chr1,11733037.0,11736037.0
chr1,11750281.0,11753281.0
chr1,11794642.0,11797642.0
chr1,11838359.0,11841359.0
chr1,11861438.0,11864438.0
chr1,11864653.0,11867653.0
chr1,11904267.0,11907267.0
chr1,11916021.0,11919021.0
chr1,11980732.0,11983732.0
chr1,11993224.0,11996224.0
chr1,12038738.0,12041738.0
chr1,12077799.0,12080799.0
chr1,12121802.0,12124802.0
chr1,12225560.0,12228560.0
chr1,12288613.0,12291613.0
chr1,12639051.0,12642051.0
chr1,12703066.0,12706066.0
chr1,12774618.0,12777618.0
chr1,12804663.0,12807663.0
chr1,12833484.0,12836484.0
chr1,12905736.0,12908736.0
chr1,12905761.0,12908761.0
chr1,12951227.0,12954227.0
chr1,12974950.0,12977950.0
chr1,12996802.0,12999802.0
chr1,13034043.0,13037043.0
chr1,13385147.0,13388147.0
chr1,13735407.0,13738407.0
chr1,13799945.0,13802945.0
chr1,13908752.0,13911752.0
chr1,14029850.0,14032850.0
chr1,14923681.0,14926681.0
chr1,15478729.0,15481729.0
chr1,15496655.0,15499655.0
chr1,15572240.0,15575240.0
chr1,15734891.0,15737891.0
chr1,15763438.0,15766438.0
chr1,15781723.0,15784723.0
chr1,15801096.0,15804096.0
chr1,15816396.0,15819396.0
chr1,15851852.0,15854852.0
chr1,15896694.0,15899694.0
chr1,15942453.0,15945453.0
chr1,15984864.0,15987864.0
chr1,16009327.0,16012327.0
chr1,16061309.0,16064309.0
chr1,16067487.0,16070487.0
chr1,16083755.0,16086755.0
chr1,16132157.0,16135157.0
chr1,16172859.0,16175859.0
chr1,16272738.0,16275738.0
chr1,16329238.0,16332238.0
chr1,16339023.0,16342023.0
chr1,16353507.0,16356507.0
chr1,16368731.0,16371731.0
chr1,16382764.0,16385764.0
chr1,16460584.0,16463584.0
chr1,16523099.0,16526099.0
chr1,16554537.0,16557537.0
chr1,16562209.0,16565209.0
chr1,16617320.0,16620320.0
chr1,16692025.0,16695025.0
chr1,16723638.0,16726638.0
chr1,16765667.0,16768667.0
chr1,16930413.0,16933413.0
chr1,16997997.0,17000997.0
chr1,17246927.0,17249927.0
chr1,17299499.0,17302499.0
chr1,17320482.0,17323482.0
chr1,17343725.0,17346725.0
chr1,17404026.0,17407026.0
chr1,17530121.0,17533121.0
chr1,17574093.0,17577093.0
chr1,17633190.0,17636190.0
chr1,17697241.0,17700241.0
chr1,17731751.0,17734751.0
chr1,17864696.0,17867696.0
chr1,18080308.0,18083308.0
chr1,18432740.0,18435740.0
chr1,18805924.0,18808924.0
chr1,18956000.0,18959000.0
chr1,19164593.0,19167593.0
chr1,19196424.0,19199424.0
chr1,19229274.0,19232274.0
chr1,19475918.0,19478918.0
chr1,19540658.0,19543658.0
chr1,19576575.0,19579575.0
chr1,19607557.0,19610557.0
chr1,19632733.0,19635733.0
chr1,19637328.0,19640328.0
chr1,19663767.0,19666767.0
chr1,19922053.0,19925053.0
chr1,19922053.0,19925053.0
chr1,19969167.0,19972167.0
chr1,19990280.0,19993280.0
chr1,20070525.0,20073525.0
chr1,20139022.0,20142022.0
chr1,20207388.0,20210388.0
chr1,20245300.0,20248300.0
chr1,20300424.0,20303424.0
chr1,20395201.0,20398201.0
chr1,20437643.0,20440643.0
chr1,20464323.0,20467323.0
chr1,20488984.0,20491984.0
chr1,20615850.0,20618850.0
chr1,20807384.0,20810384.0
chr1,20824441.0,20827441.0
chr1,20877432.0,20880432.0
chr1,20913944.0,20916944.0
chr1,20958448.0,20961448.0
chr1,20976760.0,20979760.0
chr1,20989007.0,20992007.0
chr1,21044725.0,21047725.0
chr1,21100648.0,21103648.0
chr1,21266238.0,21269238.0
chr1,21558098.0,21561098.0
chr1,21765083.0,21768083.0
chr1,21876272.0,21879272.0
chr1,21942299.0,21945299.0
chr1,22052839.0,22055839.0
chr1,22137258.0,22140258.0
chr1,22212208.0,22215208.0
chr1,22301918.0,22304918.0
chr1,22326649.0,22329649.0
chr1,22377620.0,22380620.0
chr1,22442298.0,22445298.0
chr1,22776844.0,22779844.0
chr1,22888504.0,22891504.0
chr1,22961618.0,22964618.0
chr1,22968618.0,22971618.0
chr1,22978182.0,22981182.0
chr1,23035832.0,23038832.0
chr1,23290330.0,23293330.0
chr1,23340849.0,23343849.0
chr1,23344441.0,23347441.0
chr1,23416183.0,23419183.0
chr1,23516888.0,23519888.0
chr1,23634776.0,23637776.0
chr1,23684441.0,23687441.0
chr1,23733657.0,23736657.0
chr1,23767494.0,23770494.0
chr1,23831420.0,23834420.0
chr1,23882921.0,23885921.0
chr1,24016769.0,24019769.0
chr1,24068489.0,24071489.0
chr1,24103376.0,24106376.0
chr1,24116146.0,24119146.0
chr1,24123077.0,24126077.0
chr1,24129390.0,24132390.0
chr1,24184788.0,24187788.0
chr1,24199525.0,24202525.0
chr1,24284801.0,24287801.0
chr1,24294073.0,24297073.0
chr1,24406539.0,24409539.0
chr1,24444761.0,24447761.0
chr1,24486368.0,24489368.0
chr1,24644312.0,24647312.0
chr1,24693711.0,24696711.0
chr1,24740745.0,24743745.0
chr1,24827887.0,24830887.0
chr1,24881067.0,24884067.0
chr1,24968094.0,24971094.0
chr1,25070378.0,25073378.0
chr1,25254578.0,25257578.0
chr1,25555300.0,25558300.0
chr1,25572453.0,25575453.0
chr1,25597481.0,25600481.0
chr1,25663289.0,25666289.0
chr1,25687240.0,25690240.0
chr1,25755909.0,25758909.0
chr1,25887786.0,25890786.0
chr1,25942459.0,25945459.0
chr1,26133666.0,26136666.0
chr1,26144897.0,26147897.0
chr1,26158997.0,26161997.0
chr1,26187790.0,26190790.0
chr1,26225107.0,26228107.0
chr1,26284758.0,26287758.0
chr1,26346771.0,26349771.0
chr1,26363014.0,26366014.0
chr1,26376296.0,26379296.0
chr1,26436768.0,26439768.0
chr1,26484011.0,26487011.0
chr1,26494888.0,26497888.0
chr1,26502482.0,26505482.0
chr1,26515619.0,26518619.0
chr1,26604713.0,26607713.0
chr1,26609353.0,26612353.0
chr1,26642911.0,26645911.0
chr1,26679132.0,26682132.0
chr1,26686625.0,26689625.0
chr1,26735769.0,26738769.0
chr1,26757273.0,26760273.0
chr1,26797402.0,26800402.0
chr1,26854749.0,26857749.0
chr1,27021022.0,27024022.0
chr1,27113179.0,27116179.0
chr1,27151701.0,27154701.0
chr1,27188133.0,27191133.0
chr1,27204373.0,27207373.0
chr1,27215479.0,27218479.0
chr1,27236475.0,27239475.0
chr1,27246713.0,27249713.0
chr1,27285466.0,27288466.0
chr1,27318695.0,27321695.0
chr1,27337875.0,27340875.0
chr1,27430442.0,27433442.0
chr1,27559507.0,27562507.0
chr1,27647136.0,27650136.0
chr1,27666983.0,27669983.0
chr1,27683147.0,27686147.0
chr1,27694101.0,27697101.0
chr1,27704096.0,27707096.0
chr1,27717648.0,27720648.0
chr1,27729234.0,27732234.0
chr1,27875880.0,27878880.0
chr1,27948188.0,27951188.0
chr1,27991072.0,27994072.0
chr1,28050990.0,28053990.0
chr1,28098194.0,28101194.0
chr1,28155825.0,28158825.0
chr1,28197555.0,28200555.0
chr1,28216549.0,28219549.0
chr1,28260004.0,28263004.0
chr1,28285004.0,28288004.0
chr1,28313546.0,28316546.0
chr1,28475004.0,28478004.0
chr1,28525290.0,28528290.0
chr1,28561181.0,28564181.0
chr1,28584463.0,28587463.0
chr1,28654013.0,28657013.0
chr1,28694593.0,28697593.0
chr1,28843245.0,28846245.0
chr1,28878029.0,28881029.0
chr1,28917507.0,28920507.0
chr1,28929951.0,28932951.0
chr1,28993740.0,28996740.0
chr1,29061962.0,29064962.0
chr1,29137154.0,29140154.0
chr1,29212103.0,29215103.0
chr1,29445917.0,29448917.0
chr1,29479708.0,29482708.0
chr1,29524649.0,29527649.0
chr1,29561528.0,29564528.0
chr1,31182624.0,31185624.0
chr1,31203815.0,31206815.0
chr1,31340813.0,31343813.0
chr1,31402853.0,31405853.0
chr1,31651092.0,31654092.0
chr1,31730915.0,31733915.0
chr1,31768357.0,31771357.0
chr1,31836600.0,31839600.0
chr1,31884463.0,31887463.0
chr1,32040586.0,32043586.0
chr1,32081801.0,32084801.0
chr1,32098387.0,32101387.0
chr1,32143333.0,32146333.0
chr1,32228476.0,32231476.0
chr1,32258597.0,32261597.0
chr1,32477795.0,32480795.0
chr1,32537003.0,32540003.0
chr1,32572144.0,32575144.0
chr1,32643845.0,32646845.0
chr1,32664702.0,32667702.0
chr1,32669736.0,32672736.0
chr1,32673195.0,32676195.0
chr1,32680298.0,32683298.0
chr1,32686459.0,32689459.0
chr1,32711318.0,32714318.0
chr1,32715340.0,32718340.0
chr1,32756208.0,32759208.0
chr1,32797930.0,32800930.0
chr1,32825371.0,32828371.0
chr1,32826362.0,32829362.0
chr1,32829276.0,32832276.0
chr1,32929158.0,32932158.0
chr1,33003272.0,33006272.0
chr1,33085807.0,33088807.0
chr1,33115249.0,33118249.0
chr1,33144007.0,33147007.0
chr1,33218067.0,33221067.0
chr1,33281491.0,33284491.0
chr1,33281619.0,33284619.0
chr1,33326369.0,33329369.0
chr1,33350598.0,33353598.0
chr1,33358696.0,33361696.0
chr1,33400550.0,33403550.0
chr1,33475326.0,33478326.0
chr1,33545269.0,33548269.0
chr1,33609503.0,33612503.0
chr1,33720674.0,33723674.0
chr1,33770867.0,33773867.0
chr1,33796819.0,33799819.0
chr1,33936752.0,33939752.0
chr1,34055907.0,34058907.0
chr1,34328180.0,34331180.0
chr1,34641037.0,34644037.0
chr1,35219148.0,35222148.0
chr1,35223842.0,35226842.0
chr1,35245290.0,35248290.0
chr1,35257100.0,35260100.0
chr1,35319800.0,35322800.0
chr1,35329537.0,35332537.0
chr1,35449451.0,35452451.0
chr1,35481351.0,35484351.0
chr1,35543472.0,35546472.0
chr1,35647701.0,35650701.0
chr1,35732618.0,35735618.0
chr1,35930709.0,35933709.0
chr1,36021893.0,36024893.0
chr1,36037471.0,36040471.0
chr1,36063643.0,36066643.0
chr1,36179733.0,36182733.0
chr1,36196213.0,36199213.0
chr1,36272328.0,36275328.0
chr1,36347310.0,36350310.0
chr1,36395183.0,36398183.0
chr1,36548176.0,36551176.0
chr1,36553019.0,36556019.0
chr1,36559344.0,36562344.0
chr1,36600670.0,36603670.0
chr1,36620303.0,36623303.0
chr1,36688517.0,36691517.0
chr1,36771208.0,36774208.0
chr1,36786132.0,36789132.0
chr1,36803731.0,36806731.0
chr1,36857859.0,36860859.0
chr1,36892401.0,36895401.0
chr1,36919862.0,36922862.0
chr1,36930144.0,36933144.0
chr1,37268719.0,37271719.0
chr1,37938619.0,37941619.0
chr1,37954061.0,37957061.0
chr1,37998550.0,38001550.0
chr1,38021020.0,38024020.0
chr1,38047676.0,38050676.0
chr1,38075451.0,38078451.0
chr1,38150445.0,38153445.0
chr1,38156573.0,38159573.0
chr1,38210411.0,38213411.0
chr1,38258274.0,38261274.0
chr1,38267114.0,38270114.0
chr1,38271973.0,38274973.0
chr1,38286293.0,38289293.0
chr1,38392712.0,38395712.0
chr1,38461909.0,38464909.0
chr1,38476926.0,38479926.0
chr1,38508023.0,38511023.0
chr1,39302369.0,39305369.0
chr1,39326662.0,39329662.0
chr1,39338723.0,39341723.0
chr1,39379675.0,39382675.0
chr1,39455416.0,39458416.0
chr1,39490467.0,39493467.0
chr1,39552751.0,39555751.0
chr1,39873676.0,39876676.0
chr1,39955818.0,39958818.0
chr1,40024985.0,40027985.0
chr1,40087603.0,40090603.0
chr1,40123293.0,40126293.0
chr1,40143145.0,40146145.0
chr1,40203017.0,40206017.0
chr1,40227723.0,40230723.0
chr1,40233697.0,40236697.0
chr1,40305206.0,40308206.0
chr1,40363784.0,40366784.0
chr1,40419284.0,40422284.0
chr1,40504755.0,40507755.0
chr1,40536882.0,40539882.0
chr1,40625541.0,40628541.0
chr1,40712073.0,40715073.0
chr1,40722222.0,40725222.0
chr1,40764663.0,40767663.0
chr1,40837878.0,40840878.0
chr1,40914274.0,40917274.0
chr1,40941802.0,40944802.0
chr1,40972933.0,40975933.0
chr1,40995733.0,40998733.0
chr1,41084852.0,41087852.0
chr1,41155742.0,41158742.0
chr1,41248184.0,41251184.0
chr1,41325228.0,41328228.0
chr1,41443507.0,41446507.0
chr1,41479769.0,41482769.0
chr1,41492756.0,41495756.0
chr1,41825655.0,41828655.0
chr1,41942946.0,41945946.0
chr1,42018984.0,42021984.0
chr1,42617592.0,42620592.0
chr1,42626862.0,42629862.0
chr1,42640710.0,42643710.0
chr1,42844968.0,42847968.0
chr1,42894501.0,42897501.0
chr1,42920673.0,42923673.0
chr1,42927511.0,42930511.0
chr1,43122548.0,43125548.0
chr1,43146566.0,43149566.0
chr1,43197264.0,43200264.0
chr1,43231215.0,43234215.0
chr1,43231416.0,43234416.0
chr1,43252160.0,43255160.0
chr1,43281586.0,43284586.0
chr1,43289731.0,43292731.0
chr1,43310744.0,43313744.0
chr1,43389546.0,43392546.0
chr1,43612094.0,43615094.0
chr1,43628345.0,43631345.0
chr1,43636536.0,43639536.0
chr1,43734165.0,43737165.0
chr1,43746057.0,43749057.0
chr1,43765066.0,43768066.0
chr1,43801975.0,43804975.0
chr1,43823126.0,43826126.0
chr1,43827568.0,43830568.0
chr1,43848079.0,43851079.0
chr1,43854056.0,43857056.0
chr1,43915174.0,43918174.0
chr1,43995047.0,43998047.0
chr1,44114297.0,44117297.0
chr1,44171704.0,44174704.0
chr1,44397492.0,44400492.0
chr1,44410978.0,44413978.0
chr1,44434182.0,44437182.0
chr1,44439143.0,44442143.0
chr1,44443374.0,44446374.0
chr1,44456005.0,44459005.0
chr1,44464939.0,44467939.0
chr1,44583004.0,44586004.0
chr1,44677625.0,44680625.0
chr1,44685242.0,44688242.0
chr1,44887996.0,44890996.0
chr1,45118409.0,45121409.0
chr1,45138763.0,45141763.0
chr1,45203990.0,45206990.0
chr1,45239746.0,45242746.0
chr1,45247757.0,45250757.0
chr1,45264536.0,45267536.0
chr1,45270175.0,45273175.0
chr1,45272654.0,45275654.0
chr1,45286438.0,45289438.0
chr1,45338701.0,45341701.0
chr1,45466720.0,45469720.0
chr1,45476305.0,45479305.0
chr1,45480576.0,45483576.0
chr1,45791045.0,45794045.0
chr1,45793414.0,45796414.0
chr1,45804336.0,45807336.0
chr1,45862644.0,45865644.0
chr1,45964356.0,45967356.0
chr1,45975207.0,45978207.0
chr1,46014955.0,46017955.0
chr1,46048160.0,46051160.0
chr1,46084216.0,46087216.0
chr1,46091476.0,46094476.0
chr1,46152347.0,46155347.0
chr1,46162907.0,46165907.0
chr1,46267785.0,46270785.0
chr1,46504312.0,46507312.0
chr1,46639249.0,46642249.0
chr1,46659656.0,46662656.0
chr1,46667506.0,46670506.0
chr1,46711867.0,46714867.0
chr1,46749177.0,46752177.0
chr1,46767880.0,46770880.0
chr1,46804644.0,46807644.0
chr1,46858439.0,46861439.0
chr1,46971168.0,46974168.0
chr1,47009816.0,47012816.0
chr1,47038647.0,47041647.0
chr1,47071887.0,47074887.0
chr1,47099211.0,47102211.0
chr1,47135997.0,47138997.0
chr1,47139331.0,47142331.0
chr1,47275197.0,47278197.0
chr1,47487740.0,47490740.0
chr1,47531660.0,47534660.0
chr1,47601607.0,47604607.0
chr1,47647761.0,47650761.0
chr1,47693368.0,47696368.0
chr1,47724461.0,47727461.0
chr1,47797969.0,47800969.0
chr1,47880244.0,47883244.0
chr1,47900189.0,47903189.0
chr1,48224700.0,48227700.0
chr1,48686857.0,48689857.0
chr1,48759544.0,48762544.0
chr1,49048042.0,49051042.0
chr1,49192040.0,49195040.0
chr1,50573094.0,50576094.0
chr1,50881723.0,50884723.0
chr1,50905435.0,50908435.0
chr1,51434142.0,51437142.0
chr1,51566406.0,51569406.0
chr1,51700445.0,51703445.0
chr1,51765744.0,51768744.0
chr1,51818435.0,51821435.0
chr1,52081046.0,52084046.0
chr1,52342913.0,52345913.0
chr1,52372128.0,52375128.0
chr1,52496269.0,52499269.0
chr1,52496277.0,52499277.0
chr1,52520357.0,52523357.0
chr1,52606266.0,52609266.0
chr1,52816704.0,52819704.0
chr1,52837001.0,52840001.0
chr1,52868719.0,52871719.0
chr1,53017277.0,53020277.0
chr1,53066543.0,53069543.0
chr1,53097360.0,53100360.0
chr1,53190631.0,53193631.0
chr1,53306683.0,53309683.0
chr1,53369206.0,53372206.0
chr1,53391401.0,53394401.0
chr1,53526224.0,53529224.0
chr1,53572100.0,53575100.0
chr1,53660601.0,53663601.0
chr1,53684829.0,53687829.0
chr1,53691064.0,53694064.0
chr1,53714862.0,53717862.0
chr1,53923572.0,53926572.0
chr1,53970406.0,53973406.0
chr1,54229634.0,54232634.0
chr1,54315892.0,54318892.0
chr1,54358362.0,54361362.0
chr1,54385734.0,54388734.0
chr1,54410499.0,54413499.0
chr1,54471471.0,54474471.0
chr1,54495849.0,54498849.0
chr1,54517774.0,54520774.0
chr1,54603168.0,54606168.0
chr1,54636527.0,54639527.0
chr1,54664340.0,54667340.0
chr1,54689604.0,54692604.0
chr1,55012307.0,55015307.0
chr1,55073350.0,55076350.0
chr1,55105927.0,55108927.0
chr1,55180041.0,55183041.0
chr1,55221907.0,55224907.0
chr1,55248724.0,55251724.0
chr1,55270281.0,55273281.0
chr1,55313800.0,55316800.0
chr1,55444965.0,55447965.0
chr1,55463117.0,55466117.0
chr1,55503649.0,55506649.0
chr1,55530532.0,55533532.0
chr1,57043612.0,57046612.0
chr1,57109490.0,57112490.0
chr1,57283592.0,57286592.0
chr1,57318943.0,57321943.0
chr1,57393383.0,57396383.0
chr1,57474853.0,57477853.0
chr1,58997593.0,59000593.0
chr1,59039595.0,59042595.0
chr1,59150276.0,59153276.0
chr1,59244963.0,59247963.0
chr1,59761125.0,59764125.0
chr1,60279033.0,60282033.0
chr1,60357480.0,60360480.0
chr1,60453324.0,60456324.0
chr1,61546480.0,61549480.0
chr1,62145219.0,62148219.0
chr1,62206682.0,62209682.0
chr1,62658974.0,62661974.0
chr1,62700337.0,62703337.0
chr1,62900883.0,62903883.0
chr1,63048276.0,63051276.0
chr1,63061658.0,63064658.0
chr1,63248277.0,63251277.0
chr1,63787230.0,63790230.0
chr1,63831761.0,63834761.0
chr1,63917612.0,63920612.0
chr1,63987513.0,63990513.0
chr1,64057447.0,64060447.0
chr1,64238190.0,64241190.0
chr1,64667990.0,64670990.0
chr1,64933884.0,64936884.0
chr1,65209264.0,65212264.0
chr1,65297406.0,65300406.0
chr1,65612350.0,65615350.0
chr1,65718648.0,65721648.0
chr1,65884631.0,65887631.0
chr1,65884631.0,65887631.0
chr1,66456330.0,66459330.0
chr1,66998325.0,67001325.0
chr1,67216659.0,67219659.0
chr1,67261924.0,67264924.0
chr1,67389048.0,67392048.0
chr1,67394426.0,67397426.0
chr1,67471697.0,67474697.0
chr1,67556359.0,67559359.0
chr1,67630635.0,67633635.0
chr1,67771547.0,67774547.0
chr1,67871993.0,67874993.0
chr1,68149360.0,68152360.0
chr1,68165649.0,68168649.0
chr1,68510791.0,68513791.0
chr1,68658039.0,68661039.0
chr1,68893007.0,68896007.0
chr1,68938335.0,68941335.0
chr1,70224374.0,70227374.0
chr1,70608985.0,70611985.0
chr1,70685645.0,70688645.0
chr1,70816986.0,70819986.0
chr1,70818993.0,70821993.0
chr1,70875401.0,70878401.0
chr1,71470037.0,71473037.0
chr1,71527474.0,71530474.0
chr1,71867125.0,71870125.0
chr1,74490202.0,74493202.0
chr1,74662396.0,74665396.0
chr1,74662396.0,74665396.0
chr1,74699571.0,74702571.0
chr1,74976798.0,74979798.0
chr1,75137894.0,75140894.0
chr1,75169672.0,75172672.0
chr1,75197362.0,75200362.0
chr1,75599067.0,75602067.0
chr1,75670575.0,75673575.0
chr1,76188543.0,76191543.0
chr1,76250379.0,76253379.0
chr1,76261056.0,76264056.0
chr1,76383058.0,76386058.0
chr1,76538889.0,76541889.0
chr1,77331684.0,77334684.0
chr1,77617721.0,77620721.0
chr1,77746162.0,77749162.0
chr1,78048702.0,78051702.0
chr1,78175838.0,78178838.0
chr1,78243851.0,78246851.0
chr1,78352700.0,78355700.0
chr1,78412091.0,78415091.0
chr1,78469136.0,78472136.0
chr1,78510089.0,78513089.0
chr1,78955228.0,78958228.0
chr1,79084588.0,79087588.0
chr1,79113977.0,79116977.0
chr1,79470943.0,79473943.0
chr1,81770376.0,81773376.0
chr1,84333881.0,84336881.0
chr1,84608452.0,84611452.0
chr1,84762549.0,84765549.0
chr1,84872620.0,84875620.0
chr1,84943420.0,84946420.0
chr1,84962506.0,84965506.0
chr1,85017304.0,85020304.0
chr1,85119648.0,85122648.0
chr1,85277586.0,85280586.0
chr1,85389766.0,85392766.0
chr1,85488741.0,85491741.0
chr1,85526539.0,85529539.0
chr1,85645346.0,85648346.0
chr1,85729960.0,85732960.0
chr1,85782668.0,85785668.0
chr1,86044953.0,86047953.0
chr1,86113606.0,86116606.0
chr1,86509311.0,86512311.0
chr1,86824609.0,86827609.0
chr1,86888269.0,86891269.0
chr1,86932895.0,86935895.0
chr1,87011259.0,87014259.0
chr1,87168753.0,87171753.0
chr1,87378835.0,87381835.0
chr1,87792651.0,87795651.0
chr1,89148422.0,89151422.0
chr1,89324323.0,89327323.0
chr1,89446837.0,89449837.0
chr1,89456821.0,89459821.0
chr1,89473027.0,89476027.0
chr1,89516487.0,89519487.0
chr1,89571810.0,89574810.0
chr1,89595934.0,89598934.0
chr1,89645331.0,89648331.0
chr1,89726866.0,89729866.0
chr1,89827936.0,89830936.0
chr1,89988897.0,89991897.0
chr1,90097144.0,90100144.0
chr1,90285073.0,90288073.0
chr1,90459178.0,90462178.0
chr1,91176079.0,91179079.0
chr1,91402329.0,91405329.0
chr1,91841500.0,91844500.0
chr1,91964904.0,91967904.0
chr1,92144400.0,92147400.0
chr1,92413428.0,92416428.0
chr1,92494033.0,92497033.0
chr1,92544362.0,92547362.0
chr1,92632992.0,92635992.0
chr1,92682073.0,92685073.0
chr1,92710455.0,92713455.0
chr1,92763022.0,92766022.0
chr1,92938818.0,92941818.0
chr1,93027699.0,93030699.0
chr1,93296094.0,93299094.0
chr1,93425556.0,93428556.0
chr1,93543292.0,93546292.0
chr1,93613799.0,93616799.0
chr1,93644781.0,93647781.0
chr1,93809978.0,93812978.0
chr1,93912188.0,93915188.0
chr1,94074204.0,94077204.0
chr1,94340505.0,94343505.0
chr1,94351090.0,94354090.0
chr1,94509693.0,94512693.0
chr1,94665952.0,94668952.0
chr1,94882433.0,94885433.0
chr1,95004313.0,95007313.0
chr1,95284398.0,95287398.0
chr1,95361007.0,95364007.0
chr1,95446779.0,95449779.0
chr1,95581494.0,95584494.0
chr1,95581494.0,95584494.0
chr1,95698211.0,95701211.0
chr1,97185675.0,97188675.0
chr1,98183814.0,98186814.0
chr1,99125736.0,99128736.0
chr1,99468946.0,99471946.0
chr1,99728607.0,99731607.0
chr1,100109931.0,100112931.0
chr1,100172759.0,100175759.0
chr1,100314140.0,100317140.0
chr1,100433845.0,100436845.0
chr1,100502177.0,100505177.0
chr1,100547602.0,100550602.0
chr1,100597206.0,100600206.0
chr1,100612504.0,100615504.0
chr1,100674599.0,100677599.0
chr1,100730214.0,100733214.0
chr1,100816523.0,100819523.0
chr1,101002214.0,101005214.0
chr1,101183696.0,101186696.0
chr1,101336428.0,101339428.0
chr1,101360132.0,101363132.0
chr1,101453680.0,101456680.0
chr1,101700959.0,101703959.0
